"CNTRYID","CNT","Gender","Computers_at_home","Hours_maths_school","Hours_maths_at_home","Hours_science_school","Hours_science_at_home","PV1MATH","PV1READ","PV1SCIE"
"Albania","Albania","Female",NA,NA,NA,NA,NA,305.983,309.903,371.636
"Albania","Albania","Female",NA,NA,NA,NA,NA,366.072,361.354,408.858
"Albania","Albania","Female",NA,NA,NA,NA,NA,399.62,311.579,396.6
"Albania","Albania","Male",NA,NA,NA,NA,NA,197.97,287.76,286.093
"Albania","Albania","Male",NA,NA,NA,NA,NA,512.683,376.717,477.455
"Albania","Albania","Female",NA,NA,NA,NA,NA,436.58,508.813,462.306
"Albania","Albania","Female",NA,NA,NA,NA,NA,332.557,393.179,358.578
"Albania","Albania","Male",NA,NA,NA,NA,NA,511.786,541.867,568.329
"Albania","Albania","Male",NA,NA,NA,NA,NA,485.974,403.047,437.735
"Albania","Albania","Male",NA,NA,NA,NA,NA,354.693,361.888,461.827
"Albania","Albania","Female",NA,NA,NA,NA,NA,467.927,552.119,550.307
"Albania","Albania","Female",NA,NA,NA,NA,NA,264.261,410.907,358.386
"Albania","Albania","Female",NA,NA,NA,NA,NA,303.246,507.84,440.358
"Albania","Albania","Male",NA,NA,NA,NA,NA,602.879,603.15,610.257
"Albania","Albania","Male",NA,NA,NA,NA,NA,407.75,328.422,365.552
"Albania","Albania","Male",NA,NA,NA,NA,NA,399.253,342.415,426.67
"Albania","Albania","Female",NA,NA,NA,NA,NA,261.576,301.83,287.388
"Albania","Albania","Male",NA,NA,NA,NA,NA,260.794,396.426,347.934
"Albania","Albania","Female",NA,NA,NA,NA,NA,400.101,431.594,453.244
"Albania","Albania","Female",NA,NA,NA,NA,NA,534.055,562.101,603.783
"Albania","Albania","Female",NA,NA,NA,NA,NA,446.954,483.879,441.928
"Albania","Albania","Male",NA,NA,NA,NA,NA,498.272,367.576,473.508
"Albania","Albania","Female",NA,NA,NA,NA,NA,528.149,635.37,522.905
"Albania","Albania","Female",NA,NA,NA,NA,NA,350.265,384.656,386.31
"Albania","Albania","Female",NA,NA,NA,NA,NA,445.516,488.779,458.42
"Albania","Albania","Female",NA,NA,NA,NA,NA,312.158,355.772,325.315
"Albania","Albania","Male",NA,NA,NA,NA,NA,336.327,249.439,268.294
"Albania","Albania","Female",NA,NA,NA,NA,NA,385.251,338.819,428.594
"Albania","Albania","Male",NA,NA,NA,NA,NA,386.45,369.925,333.531
"Albania","Albania","Female",NA,NA,NA,NA,NA,568.999,560.561,586.324
"Albania","Albania","Male",NA,NA,NA,NA,NA,374.799,439.024,497.897
"Albania","Albania","Female",NA,NA,NA,NA,NA,399.064,344.468,386.487
"Albania","Albania","Female",NA,NA,NA,NA,NA,478.85,494.893,531.467
"Albania","Albania","Male",NA,NA,NA,NA,NA,350.199,341.139,370.722
"Albania","Albania","Female",NA,NA,NA,NA,NA,447.321,427.651,511.296
"Albania","Albania","Male",NA,NA,NA,NA,NA,537.521,418.212,482.506
"Albania","Albania","Male",NA,NA,NA,NA,NA,317.96,145.616,262.953
"Albania","Albania","Female",NA,NA,NA,NA,NA,468.949,502.168,488.012
"Albania","Albania","Male",NA,NA,NA,NA,NA,333.984,315.125,368.856
"Albania","Albania","Male",NA,NA,NA,NA,NA,569.293,470.297,561.917
"Albania","Albania","Female",NA,NA,NA,NA,NA,358.035,436.486,371.291
"Albania","Albania","Male",NA,NA,NA,NA,NA,494.259,389.205,486.455
"Albania","Albania","Female",NA,NA,NA,NA,NA,390.691,410.277,435.106
"Albania","Albania","Female",NA,NA,NA,NA,NA,374.421,313.999,352.78
"Albania","Albania","Male",NA,NA,NA,NA,NA,421.184,386.328,420.469
"Albania","Albania","Male",NA,NA,NA,NA,NA,542.06,422.604,565.525
"Albania","Albania","Female",NA,NA,NA,NA,NA,322.18,402.012,396.404
"Albania","Albania","Male",NA,NA,NA,NA,NA,290.165,232.692,370.007
"Albania","Albania","Male",NA,NA,NA,NA,NA,343.4,277.26,417.054
"Albania","Albania","Male",NA,NA,NA,NA,NA,636.427,520.236,583.09
"Albania","Albania","Male",NA,NA,NA,NA,NA,534.762,469.718,505.319
"Albania","Albania","Male",NA,NA,NA,NA,NA,553.266,433.783,592.109
"Albania","Albania","Female",NA,NA,NA,NA,NA,335.192,271.019,301.624
"Albania","Albania","Female",NA,NA,NA,NA,NA,470.103,437.336,481.485
"Albania","Albania","Male",NA,NA,NA,NA,NA,524.575,533.971,536.631
"Albania","Albania","Female",NA,NA,NA,NA,NA,282.912,309.769,248.067
"Albania","Albania","Male",NA,NA,NA,NA,NA,341.266,293.046,333.913
"Albania","Albania","Female",NA,NA,NA,NA,NA,379.441,559.061,426.02
"Albania","Albania","Female",NA,NA,NA,NA,NA,537.53,432.12,466.312
"Albania","Albania","Female",NA,NA,NA,NA,NA,631.859,535.183,535.503
"Albania","Albania","Female",NA,NA,NA,NA,NA,124.927,427.554,272.685
"Albania","Albania","Female",NA,NA,NA,NA,NA,517.111,413.704,441.681
"Albania","Albania","Female",NA,NA,NA,NA,NA,407.414,394.693,388.754
"Albania","Albania","Male",NA,NA,NA,NA,NA,384.07,326.799,324.608
"Albania","Albania","Male",NA,NA,NA,NA,NA,446.021,367.299,412.181
"Albania","Albania","Female",NA,NA,NA,NA,NA,570.835,626.639,542.786
"Albania","Albania","Male",NA,NA,NA,NA,NA,446.997,401.579,444.226
"Albania","Albania","Male",NA,NA,NA,NA,NA,332.707,241.833,324.317
"Albania","Albania","Male",NA,NA,NA,NA,NA,246.457,312.407,336.414
"Albania","Albania","Male",NA,NA,NA,NA,NA,386.698,347.357,422.825
"Albania","Albania","Male",NA,NA,NA,NA,NA,432.659,338.669,431.593
"Albania","Albania","Female",NA,NA,NA,NA,NA,324.025,220.332,297.098
"Albania","Albania","Female",NA,NA,NA,NA,NA,325.791,507.873,462.591
"Albania","Albania","Female",NA,NA,NA,NA,NA,394.813,371.84,478.566
"Albania","Albania","Female",NA,NA,NA,NA,NA,236.89,293.59,318.727
"Albania","Albania","Male",NA,NA,NA,NA,NA,224.247,271.737,316.155
"Albania","Albania","Female",NA,NA,NA,NA,NA,265.761,181.815,294.656
"Albania","Albania","Male",NA,NA,NA,NA,NA,508.315,464.545,467.497
"Albania","Albania","Male",NA,NA,NA,NA,NA,376.795,331.407,345.841
"Albania","Albania","Male",NA,NA,NA,NA,NA,206.358,222.09,352.251
"Albania","Albania","Female",NA,NA,NA,NA,NA,467.842,467.834,467.457
"Albania","Albania","Male",NA,NA,NA,NA,NA,397.176,291.769,407.025
"Albania","Albania","Male",NA,NA,NA,NA,NA,262.265,314.558,304.775
"Albania","Albania","Female",NA,NA,NA,NA,NA,340.777,440.177,401.217
"Albania","Albania","Female",NA,NA,NA,NA,NA,315.307,465.294,393.114
"Albania","Albania","Male",NA,NA,NA,NA,NA,490.165,486.095,501.646
"Albania","Albania","Female",NA,NA,NA,NA,NA,390.15,472.128,421.556
"Albania","Albania","Female",NA,NA,NA,NA,NA,473.009,500.959,472.914
"Albania","Albania","Female",NA,NA,NA,NA,NA,484.296,540.216,507.167
"Albania","Albania","Male",NA,NA,NA,NA,NA,545.486,432.706,537.77
"Albania","Albania","Female",NA,NA,NA,NA,NA,385.65,501.833,401.437
"Albania","Albania","Male",NA,NA,NA,NA,NA,539.124,578.576,588.69
"Albania","Albania","Male",NA,NA,NA,NA,NA,458.409,372.36,467.533
"Albania","Albania","Female",NA,NA,NA,NA,NA,464.849,434.057,467.114
"Albania","Albania","Male",NA,NA,NA,NA,NA,432.148,361.749,397.162
"Albania","Albania","Male",NA,NA,NA,NA,NA,395.055,287.142,366.383
"Albania","Albania","Male",NA,NA,NA,NA,NA,253.372,230.069,264.927
"Albania","Albania","Female",NA,NA,NA,NA,NA,534.86,437.57,507.231
"Albania","Albania","Female",NA,NA,NA,NA,NA,524.214,401.788,467.667
"Albania","Albania","Male",NA,NA,NA,NA,NA,540.944,508.792,601.232
"Albania","Albania","Female",NA,NA,NA,NA,NA,395.357,420.859,414.8
"Albania","Albania","Female",NA,NA,NA,NA,NA,384.661,506.903,483.267
"Albania","Albania","Female",NA,NA,NA,NA,NA,430.205,384.79,428.388
"Albania","Albania","Female",NA,NA,NA,NA,NA,484.003,476.467,497.554
"Albania","Albania","Female",NA,NA,NA,NA,NA,570.746,545.755,539.834
"Albania","Albania","Female",NA,NA,NA,NA,NA,380.42,319.528,421.098
"Albania","Albania","Female",NA,NA,NA,NA,NA,473.085,482.414,429.176
"Albania","Albania","Male",NA,NA,NA,NA,NA,377.525,345.956,396.995
"Albania","Albania","Female",NA,NA,NA,NA,NA,534.183,400.616,367.497
"Albania","Albania","Male",NA,NA,NA,NA,NA,508.622,417.989,511.779
"Albania","Albania","Female",NA,NA,NA,NA,NA,523.614,468.137,478.475
"Albania","Albania","Female",NA,NA,NA,NA,NA,293.673,443.914,329.269
"Albania","Albania","Male",NA,NA,NA,NA,NA,383.939,263.198,368.224
"Albania","Albania","Male",NA,NA,NA,NA,NA,415.836,398.999,385.869
"Albania","Albania","Female",NA,NA,NA,NA,NA,392.027,377.768,426.471
"Albania","Albania","Male",NA,NA,NA,NA,NA,409.349,455.685,466.329
"Albania","Albania","Male",NA,NA,NA,NA,NA,274.071,154.119,300.931
"Albania","Albania","Male",NA,NA,NA,NA,NA,504.416,338.506,396.962
"Albania","Albania","Female",NA,NA,NA,NA,NA,337.47,327.221,408.53
"Albania","Albania","Female",NA,NA,NA,NA,NA,366.11,349.967,458.889
"Albania","Albania","Female",NA,NA,NA,NA,NA,425.652,446.2,453.384
"Albania","Albania","Male",NA,NA,NA,NA,NA,308.566,361.643,312.868
"Albania","Albania","Male",NA,NA,NA,NA,NA,523.724,513.27,506.128
"Albania","Albania","Male",NA,NA,NA,NA,NA,237.833,257.474,326.656
"Albania","Albania","Female",NA,NA,NA,NA,NA,455.422,379.694,414.211
"Albania","Albania","Male",NA,NA,NA,NA,NA,430.516,441.237,529.026
"Albania","Albania","Male",NA,NA,NA,NA,NA,458.86,345.541,437.033
"Albania","Albania","Male",NA,NA,NA,NA,NA,316.423,334.421,304.842
"Albania","Albania","Female",NA,NA,NA,NA,NA,525.685,502.981,527.584
"Albania","Albania","Male",NA,NA,NA,NA,NA,390.206,307.422,440.369
"Albania","Albania","Male",NA,NA,NA,NA,NA,388.345,329.551,412.38
"Albania","Albania","Female",NA,NA,NA,NA,NA,438.823,458.682,498.569
"Albania","Albania","Female",NA,NA,NA,NA,NA,229.471,269.054,307.601
"Albania","Albania","Female",NA,NA,NA,NA,NA,441.511,477.059,514.768
"Albania","Albania","Male",NA,NA,NA,NA,NA,576.271,503.387,572.703
"Albania","Albania","Female",NA,NA,NA,NA,NA,395.677,378.565,368.265
"Albania","Albania","Female",NA,NA,NA,NA,NA,529.535,507.353,503.117
"Albania","Albania","Male",NA,NA,NA,NA,NA,340.021,322.294,396.657
"Albania","Albania","Male",NA,NA,NA,NA,NA,316.663,312.863,372.185
"Albania","Albania","Male",NA,NA,NA,NA,NA,422.195,405.37,437.68
"Albania","Albania","Female",NA,NA,NA,NA,NA,240.618,357.452,322.08
"Albania","Albania","Female",NA,NA,NA,NA,NA,427.337,419.342,450.773
"Albania","Albania","Male",NA,NA,NA,NA,NA,457.424,399.762,516.963
"Albania","Albania","Female",NA,NA,NA,NA,NA,416.518,408.207,420.163
"Albania","Albania","Male",NA,NA,NA,NA,NA,369.432,437.707,347.824
"Albania","Albania","Male",NA,NA,NA,NA,NA,332,429.138,357.439
"Albania","Albania","Male",NA,NA,NA,NA,NA,443.903,463.821,492.987
"Albania","Albania","Female",NA,NA,NA,NA,NA,397.455,462.771,389.608
"Albania","Albania","Female",NA,NA,NA,NA,NA,252.27,247.577,245.983
"Albania","Albania","Female",NA,NA,NA,NA,NA,485.085,537.734,427.34
"Albania","Albania","Female",NA,NA,NA,NA,NA,568.137,557.9,556.211
"Albania","Albania","Female",NA,NA,NA,NA,NA,312.301,378.686,463.629
"Albania","Albania","Female",NA,NA,NA,NA,NA,305.753,291.844,396.889
"Albania","Albania","Male",NA,NA,NA,NA,NA,403.05,445.091,449.346
"Albania","Albania","Female",NA,NA,NA,NA,NA,440.084,383.498,482.035
"Albania","Albania","Male",NA,NA,NA,NA,NA,362.249,235.225,360.037
