"CNT","Gender","Computers_at_home","Hours_maths_school","Hours_maths_at_home","Hours_science_school","Hours_science_at_home","PV1MATH","PV1READ","PV1SCIE"
"United Kingdom","Female","2","6","2","6","2",480.89,488.174,512.91
"United Kingdom","Female",">=3","5","3","5","2",471.237,464.293,434.441
"United Kingdom","Male","1","5","6","5","12",515.128,378.21,445.2
"United Kingdom","Male","1","5","12","4","9",366.78,304.153,314.943
"United Kingdom","Male","2","5","3","6","1",409.136,436.989,415.426
"United Kingdom","Male","1","5","5","7","6",485.464,411.013,465.188
"United Kingdom","Male","1","5",NA,"5",NA,471.572,507.584,448.114
"United Kingdom","Male",">=3","5","5","5","5",462.345,483.511,501.681
"United Kingdom","Male","2","5",NA,"5",NA,339.997,291.169,323.852
"United Kingdom","Male","2","5","16","6","9",371.688,332.235,324.985
"United Kingdom","Male","2","5","5","6","3",284.404,344.785,293.296
"United Kingdom","Male",NA,"5","2","8","2",506.702,596.977,654.399
"United Kingdom","Male","1","6","1","5","0",616.836,464.484,581.399
"United Kingdom","Male","0",NA,"30",NA,"30",430.077,291.464,373.17
"United Kingdom","Female",NA,NA,NA,NA,NA,535.182,610.038,594.004
"United Kingdom","Female",NA,NA,NA,NA,NA,447.142,497.91,486.645
"United Kingdom","Female",">=3",NA,NA,NA,NA,509.391,573.37,550.27
"United Kingdom","Female",NA,NA,NA,NA,NA,538.785,583.785,587.053
"United Kingdom","Female",NA,NA,NA,NA,NA,526.01,592.214,569.613
"United Kingdom","Female",NA,NA,NA,NA,NA,397.613,435.406,392.099
"United Kingdom","Female",NA,NA,NA,NA,NA,489.056,568.904,566.617
"United Kingdom","Female",NA,NA,NA,NA,NA,487.265,572.714,543.63
"United Kingdom","Female",NA,NA,NA,NA,NA,535.194,567.84,572.378
"United Kingdom","Female",NA,NA,NA,NA,NA,510.428,513.986,522.541
"United Kingdom","Female",NA,NA,NA,NA,NA,532.363,545.687,538.668
"United Kingdom","Male",NA,NA,NA,NA,NA,486.363,507.445,533.795
"United Kingdom","Male",NA,NA,NA,NA,NA,423.427,450.173,417.395
"United Kingdom","Male",">=3",NA,NA,NA,NA,513.977,557.631,559.49
"United Kingdom","Male",NA,NA,NA,NA,NA,600.513,572.209,578.583
"United Kingdom","Male",NA,NA,NA,NA,NA,496.95,480.11,483.127
"United Kingdom","Male",NA,NA,NA,NA,NA,289.316,331.149,289.818
"United Kingdom","Male",NA,NA,NA,NA,NA,441.14,451.602,452.796
"United Kingdom","Male",NA,NA,NA,NA,NA,510.528,484.797,455.109
"United Kingdom","Male",NA,NA,NA,NA,NA,502.042,534.441,486.499
"United Kingdom","Male",NA,NA,NA,NA,NA,538.687,555.713,576.331
"United Kingdom","Male",NA,NA,NA,NA,NA,473.18,547.213,498.789
"United Kingdom","Male",NA,NA,NA,NA,NA,476.268,506.961,511.964
"United Kingdom","Male",NA,NA,NA,NA,NA,504.224,508.854,536.565
"United Kingdom","Female",">=3","4","3","7","3",569.353,588.374,569.122
"United Kingdom","Female",">=3","3","6","3","5",515.597,557.96,565.348
"United Kingdom","Female",">=3","3","19","4","3",450.528,479.202,491.56
"United Kingdom","Female","2","4","4","5","5",583.951,586.358,564.175
"United Kingdom","Female","2","3","3","5","5",471.669,492.829,503.031
"United Kingdom","Female",">=3","3","3","4","2",528.258,527.744,525.268
"United Kingdom","Female","1","3",NA,"8","1",548.646,481.29,490.06
"United Kingdom","Female",">=3","3","1","7","3",559.035,553.87,593.789
"United Kingdom","Female",">=3","6","4","8","5",450.741,458.683,433.044
"United Kingdom","Female",">=3","3","7","5","5",463.901,437.86,483.888
"United Kingdom","Female",">=3","4","8","4","6",527.865,554.733,525.433
"United Kingdom","Female","1","3","3","7","7",500.759,510.351,492.057
"United Kingdom","Female","2","3","2","4",NA,480.412,513.54,499.453
"United Kingdom","Female",">=3","3","1","5","1",513.818,513.252,474.509
"United Kingdom","Male","2",NA,NA,NA,NA,446.708,416.831,406.147
"United Kingdom","Male",">=3","3","7","3","7",550.099,456.907,511.582
"United Kingdom","Male",">=3","3","3","4","1",336.609,433.179,369.369
"United Kingdom","Male",">=3","3","1","4","1",613.193,583.823,602.657
"United Kingdom","Male","1","3","5","9","9",382.491,364.777,403.696
